date,confirmed,deaths,tests,positives,recovered,hosp,icu,vent,vaccines,population,administrative_area_level,administrative_area_level_1,state,administrative_area_level_3,id,active,date_int,date_str
4/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43865,4/02/2020
4/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43865,4/02/2020
4/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43865,4/02/2020
5/02/2020,14,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,14,43866,5/02/2020
5/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43866,5/02/2020
5/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43866,5/02/2020
5/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43866,5/02/2020
5/02/2020,4,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,4,43866,5/02/2020
5/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43866,5/02/2020
5/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43866,5/02/2020
5/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43866,5/02/2020
5/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43866,5/02/2020
6/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,15,43867,6/02/2020
6/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43867,6/02/2020
6/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43867,6/02/2020
6/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43867,6/02/2020
6/02/2020,5,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,5,43867,6/02/2020
6/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43867,6/02/2020
6/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43867,6/02/2020
6/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43867,6/02/2020
6/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43867,6/02/2020
7/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,15,43868,7/02/2020
7/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43868,7/02/2020
7/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43868,7/02/2020
7/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43868,7/02/2020
7/02/2020,5,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,5,43868,7/02/2020
7/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43868,7/02/2020
7/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43868,7/02/2020
7/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43868,7/02/2020
7/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43868,7/02/2020
8/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,15,43869,8/02/2020
8/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43869,8/02/2020
8/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43869,8/02/2020
8/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43869,8/02/2020
8/02/2020,5,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,5,43869,8/02/2020
8/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43869,8/02/2020
8/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43869,8/02/2020
8/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43869,8/02/2020
8/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43869,8/02/2020
9/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,15,43870,9/02/2020
9/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43870,9/02/2020
9/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43870,9/02/2020
9/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43870,9/02/2020
9/02/2020,5,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,5,43870,9/02/2020
9/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43870,9/02/2020
